PT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
height;1025mm com 2 dobras;1225mm com 2 dobras;1525mm com 3 dobras;1725mm com 3 dobras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
width;Kit de 5m com 2 redes 3 pilares e fixadores;Kit de 7,5m com 3 redes 4 pilares e fixadores;Kit de 10m com 4 redes 5 pilares e fixadores;Kit de 12,5m com 5 redes 6 pilares e fixadores;Kit de 15m com 6 redes 7 pilares e fixadores;Kit de 17,5m com 7 redes 8 pilares e fixadores;Kit de 20m com 8 redes 9 pilares e fixadores;Kit de 22,5m com 9 redes 10 pilares e fixadores; Kit de 25m com 10 redes 11 pilares e fixadores; Kit de 27,5m com 11 redes 12 pilares e fixadores;Kit de 30m com 12 redes 13 pilares e fixadores;Kit de 32,5m com 13 redes 14 pilares e fixadores; Kit de 35m com 14 redes 15 pilares e fixadores; Kit de 37,5m com 15 redes 16 pilares e fixadores; Kit de 40m com 16 redes 17 pilares e fixadores; Kit de 42,5m com 17 redes 18 pilares e fixadores;Kit de 45m com 18 redes 19 pilares e fixadores;Kit de 47,5m com 19 redes 20 pilares e fixadores;Kit de 50m com 20 redes 21 pilares e fixadores;Kit de 52,5m com 21 redes 22 pilares e fixadores; Kit de 55m com 22 redes 23 pilares e fixadores; Kit de 57,5m com 23 redes 24 pilares e fixadores;Kit de 60m com 24 redes 25 pilares e fixadores;Kit de 62,5m com 25 redes 26 pilares e fixadores; Kit de 65m com 26 redes 27 pilares e fixadores; Kit de 67,5m com 27 redes 28 pilares e fixadores; Kit de 70m com 28 redes 29 pilares e fixadores; Kit de 72,5m com 29 redes 30 pilares e fixadores;Kit de 75m com 30 redes 31 pilares e fixadores;Kit de 77,5m com 31 redes 32 pilares e fixadores;Kit de 80m com 32 redes 33 pilares e fixadores;Kit de 82,5m com 33 redes 34 pilares e fixadores;Kit de 85m com 34 redes 35 pilares e fixadores;Kit de 87,5m com 35 redes 36 pilares e fixadores;Kit de 90m com 36 redes 37 pilares e fixadores;Kit de 92,5m com 37 redes 38 pilares e fixadores;Kit de 95m com 38 redes 39 pilares e fixadores;Kit de 97,5m com 39 redes 40 pilares e fixadores;Kit de 100m com 40 redes 41 pilares e fixadores;Kit de 102,5m com 41 redes 42 pilares e fixadores;Kit de 105m com 42 redes 43 pilares e fixadores;Kit de 107,5m com 43 redes 44 pilares e fixadores;Kit de 110m com 44 redes 45 pilares e fixadores;Kit de 112,5m com 45 redes 46 pilares e fixadores;Kit de 115m com 46 redes 47 pilares e fixadores;Kit de 117,5m com 47 redes 48 pilares e fixadores;Kit de 120m com 48 redes 49 pilares e fixadores
depth;sem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
height;1025mm avec 2 plis;1225mm avec 2 plis;1525mm avec 3 plis;1725mm avec 3 plis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
width;Kit de 5m soit 2 grilles, 3 poteaux et fixations;Kit de 7,5m soit 3 grilles, 4 poteaux et fixations;Kit de 10m soit 4 grilles, 5 poteaux et fixations;Kit de 12,5m soit 5 grilles, 6 poteaux et fixations;Kit de 15m soit 6 grilles, 7 poteaux et fixations;Kit de 17,5m soit 7 grilles, 8 poteaux et fixations;Kit de 20m soit 8 grilles, 9 poteaux et fixations;Kit de 22,5m soit 9 grilles, 10 poteaux et fixations;Kit de 25m soit 10 grilles, 11 poteaux et fixations;Kit de 27,5m soit 11 grilles, 12 poteaux et fixations;Kit de 30m soit 12 grilles, 13 poteaux et fixations;Kit de 32,5m soit 13 grilles, 14 poteaux et fixations;Kit de 35m soit 14 grilles, 15 poteaux et fixations;Kit de 37,5m soit 15 grilles, 16 poteaux et fixations;Kit de 40m soit 16 grilles, 17 poteaux et fixations;Kit de 42,5m soit 17 grilles, 18 poteaux et fixations;Kit de 45m soit 18 grilles, 19 poteaux et fixations;Kit de 47,5m soit 19 grilles, 20 poteaux et fixations;Kit de 50m soit 20 grilles, 21 poteaux et fixations;Kit de 52,5m soit 21 grilles, 22 poteaux et fixations;Kit de 55m soit 22 grilles, 23 poteaux et fixations;Kit de 57,5m soit 23 grilles, 24 poteaux et fixations;Kit de 60m soit 24 grilles, 25 poteaux et fixations;Kit de 62,5m soit 25 grilles, 26 poteaux et fixations;Kit de 65m soit 26 grilles, 27 poteaux et fixations;Kit de 67,5m soit 27 grilles, 28 poteaux et fixations;Kit de 70m soit 28 grilles, 29 poteaux et fixations;Kit de 72,5m soit 29 grilles, 30 poteaux et fixations;Kit de 75m soit 30 grilles, 31 poteaux et fixations;Kit de 77,5m soit 31 grilles, 32 poteaux et fixations;Kit de 80m soit 32 grilles, 33 poteaux et fixations;Kit de 82,5m soit 33 grilles, 34 poteaux et fixations;Kit de 85m soit 34 grilles, 35 poteaux et fixations;Kit de 87,5m soit 35 grilles, 36 poteaux et fixations;Kit de 90m soit 36 grilles, 37 poteaux et fixations;Kit de 92,5m soit 37 grilles, 38 poteaux et fixations;Kit de 95m soit 38 grilles, 39 poteaux et fixations;Kit de 97,5m soit 39 grilles, 40 poteaux et fixations;Kit de 100m soit 40 grilles, 41 poteaux et fixations;Kit de 102,5m soit 41 grilles, 42 poteaux et fixations;Kit de 105m soit 42 grilles, 43 poteaux et fixations;Kit de 107,5m soit 43 grilles, 44 poteaux et fixations;Kit de 110m soit 44 grilles, 45 poteaux et fixations;Kit de 112,5m soit 45 grilles, 46 poteaux et fixations;Kit de 115m soit 46 grilles, 47 poteaux et fixations;Kit de 117,5m soit 47 grilles, 48 poteaux et fixations;Kit de 120m soit 48 grilles, 49 poteaux et fixations
depth;sem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
height;1025mm con 2 pliegues;1225mm con 2 pliegues;1525mm con 3 pliegues;1725mm con 3 pliegues;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
width;Kit de 5m con 2 redes, 3 pilares y fijadores;Kit de 7,5m con 3 redes, 4 pilares y fijadores;Kit de 10m con 4 redes, 5 pilares y fijadores;Kit de 12,5m con 5 redes, 6 pilares y fijadores;Kit de 15m con 6 redes, 7 pilares y fijadores;Kit de 17,5m con 7 redes, 8 pilares y fijadores;Kit de 20m con 8 redes, 9 pilares y fijadores;Kit de 22,5m con 9 redes, 10 pilares y fijadores;Kit de 25m con 10 redes, 11 pilares y fijadores;Kit de 27,5m con 11 redes, 12 pilares y fijadores;Kit de 30m con 12 redes, 13 pilares y fijadores;Kit de 32,5m con 13 redes, 14 pilares y fijadores;Kit de 35m con 14 redes, 15 pilares y fijadores;Kit de 37,5m con 15 redes, 16 pilares y fijadores;Kit de 40m con 16 redes, 17 pilares y fijadores;Kit de 42,5m con 17 redes, 18 pilares y fijadores;Kit de 45m con 18 redes, 19 pilares y fijadores;Kit de 47,5m con 19 redes, 20 pilares y fijadores;Kit de 50m con 20 redes, 21 pilares y fijadores;Kit de 52,5m con 21 redes, 22 pilares y fijadores;Kit de 55m con 22 redes, 23 pilares y fijadores;Kit de 57,5m con 23 redes, 24 pilares y fijadores;Kit de 60m con 24 redes, 25 pilares y fijadores;Kit de 62,5m con 25 redes, 26 pilares y fijadores;Kit de 65m con 26 redes, 27 pilares y fijadores;Kit de 67,5m con 27 redes, 28 pilares y fijadores;Kit de 70m con 28 redes, 29 pilares y fijadores;Kit de 72,5m con 29 redes, 30 pilares y fijadores;Kit de 75m con 30 redes, 31 pilares y fijadores;Kit de 77,5m con 31 redes, 32 pilares y fijadores;Kit de 80m con 32 redes, 33 pilares y fijadores;Kit de 82,5m con 33 redes, 34 pilares y fijadores;Kit de 85m con 34 redes, 35 pilares y fijadores;Kit de 87,5m con 35 redes, 36 pilares y fijadores;Kit de 90m con 36 redes, 37 pilares y fijadores;Kit de 92,5m con 37 redes, 38 pilares y fijadores;Kit de 95m con 38 redes, 39 pilares y fijadores;Kit de 97,5m con 39 redes, 40 pilares y fijadores;Kit de 100m con 40 redes, 41 pilares y fijadores;Kit de 102,5m con 41 redes, 42 pilares y fijadores;Kit de 105m con 42 redes, 43 pilares y fijadores;Kit de 107,5m con 43 redes, 44 pilares y fijadores;Kit de 110m con 44 redes, 45 pilares y fijadores;Kit de 112,5m con 45 redes, 46 pilares y fijadores;Kit de 115m con 46 redes, 47 pilares y fijadores;Kit de 117,5m con 47 redes, 48 pilares y fijadores;Kit de 120m con 48 redes, 49 pilares y fijadores
depth;sem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
